,number,value,datetime_start,datetime_complete,duration,params_learning_rate,state
0,0,39.5296909,2025-09-17 03:56:53.375223,2025-09-17 04:00:15.325581,0 days 00:03:21.950358,0.0014547741815038122,COMPLETE
1,1,66.91349290000001,2025-09-17 04:00:15.326877,2025-09-17 04:04:05.874556,0 days 00:03:50.547679,0.001906929064183189,COMPLETE
2,2,112.94084219999999,2025-09-17 04:04:05.875816,2025-09-17 04:07:20.774713,0 days 00:03:14.898897,0.0012823289467222385,COMPLETE
3,3,154.71600569999998,2025-09-17 04:07:20.775973,2025-09-17 04:11:00.825917,0 days 00:03:40.049944,0.0021176811650070824,COMPLETE
4,4,-139.309303,2025-09-17 04:11:00.830031,2025-09-17 04:15:06.331637,0 days 00:04:05.501606,0.0017243105501260206,COMPLETE
